ID,Preconditions,Secure Coding Guidelines,CWE-IDs,content
M22,N/A,The code unit should explicitly initializes all variables and data stores before first usage,476,Explicitly initialize all variables and other data stores; either during declaration or just before the first usage.
M23,The application must use dereference a pointer with multiple threads,The code unit should use proper locking APIs when using pointers,476,When working with a multithreaded or otherwise asynchronous environment; ensure that proper locking APIs are used to lock before the if statement; and unlock when it has finished.
M24,The code unit must accept the upload or transfer of a file,The code unit should assign unique names to uploaded files,434,Generate a new; unique filename for an uploaded file instead of using the user-supplied filename; so that no external input is used at all.
M25,The code unit must accept the upload or transfer of a file and the set of accetable files is known,The code unit should reject uploaded files not belonging to the known set of files,434,When the set of acceptable objects; such as filenames or URLs; is limited or known; create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs; and reject all other inputs.
M26,The code unit must accept URLs and the set of accetable URLs is known,The code unit should reject given URLs not belonging to the known set of URLs,434,When the set of acceptable objects; such as filenames or URLs; is limited or known; create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs; and reject all other inputs.
M27,The code unit must accept the upload or transfer of a file and store it in the local file system,The code unit should store the uploaded files outside of the web document root,434,Consider storing the uploaded files outside of the web document root entirely. Then; use other mechanisms to deliver the files dynamically .
M28,The code unit must accept the upload or transfer of a file,The code unit should accept only uploaded files whose content conforms to specifications,434,"Assume all input is malicious. Use an ""accept known good"" input validation strategy; i.e.; use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications; or transform it into something that does."
M29,The code unit must accept the upload or transfer of a file,The code unit should not use exclusively denylists to validate uploaded files,434,Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input; especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However; denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright.
M30,The code unit must accept the upload or transfer of a file,The code unit should reject uploaded files with unintended extensions,434,For example; limiting filenames to alphanumeric characters can help to restrict the introduction of unintended file extensions.
M31,The code unit must accept the upload or transfer of a file,The code unit should accept uploaded files only with intended extensions,434,Define a very limited set of allowable extensions and only generate filenames that end in these extensions. Consider the possibility of XSS ( CWE-79) before allowing .html or .htm file types.
M32,The code unit must accept the upload or transfer of a file,The code unit should ensures the uploaded file has only one extension,434,"Ensure that only one extension is used in the filename. Some web servers; including some versions of Apache; may process files based on inner extensions so that ""filename.php.gif"" is fed to the PHP interpreter."
M33,The code unit must accept the upload or transfer of a file and the web server supports case-insensitive filenames,The code unit should perform case-insensitive evaluations of the extension of uploaded files,434,When running on a web server that supports case-insensitive filenames; perform case-insensitive evaluations of the extensions that are provided.
M34,The code unit must accept the upload or transfer of a file,The code unit should validate both the content and metadata of uploaded files,434,Do not rely exclusively on sanity checks of file contents to ensure that the file is of the expected type and size. It may be possible for an attacker to hide code in some file segments that will still be executed by the server. For example; GIF images may contain a free-form comments field.
M35,The code unit must accept the upload or transfer of a file and execute it,The code unit should execute the uploaded file with the lowest necessary privileges,434,Run your code using the lowest privileges that are required to accomplish the necessary tasks
M36,The code unit must accept the upload or transfer of a file and execute it,The code unit should create isolated account with limited privileges when executing uploaded files,434,If possible; create isolated accounts with limited privileges that are only used for a single task. That way; a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example; database applications rarely need to run as the database administrator; especially in day-to-day operations.
M37,The code unit must accept the upload or transfer of a file and execute it,The code unit should execute uploaded files in a sandbox enviroment (e.g.; chroot jail),434,"Run the code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system. This may effectively restrict which files can be accessed in a particular directory or which commands can be executed by the software."
M38,The code unit must accept the upload or transfer of a file,The code unit should not allow executing previously uploaded executable files with arbitrary input,434,"The problem with the above code is that there is no check regarding type of file being uploaded. Assuming that pictures/ is available in the web document root; an attacker could upload a file with the name: (attack code) malicious.php Since this filename ends in "".php"" it can be executed by the web server. In the contents of this uploaded file; the attacker could use: (attack code) Example Language: PHP <?php system($_GET['cmd']); ?> Once this file has been installed; the attacker can enter arbitrary commands to execute using a URL such as: (attack code) http://server.example.com/upload_dir/malicious.php?cmd=ls%20-l which runs the ""ls -l"" command - or any other type of command that the attacker wants to specify."
M39,The code unit must accept the upload or transfer of a file and execute it,The code unit should verify the type of files uploaded before executing them,434,This code does not perform a check on the type of the file being uploaded ( CWE-434). This could allow an attack er to upload any executable file or other file with malicious code.
M40,The code unit must accept the upload or transfer of a file and store it in the local file system,The code unit should disallow path elements in uploaded file names,434,"Additionally; the creation of the BufferedWriter object is subject to relative path trav ersal (CWE-23 ). Since the code does not check the filename that is provided in the header; an attacker can use ""../"" sequences to write to files outside of the intended directory. Depending on the executing environment; the attacker may be able to specify arbitrary files to write to; leading to a wide variety of consequences; from code execution; XSS ( CWE-79 ); or system crash."
M41,The code unit must use dynamically allocated memory,The code unit should not reuse a memory area that has been freed,416,The product reuses or references memory after it has been freed.
M42,The code unit must use dynamically allocated memory,The code unit should not call a function via a pointer whose memory has been freed,416,If malicious data is entered before chunk consolidation can take place; it may be possible to take advantage of a write-what-Confidentiality where primitive to execute arbitrary code. If the newly allocated data happens to hold a class; in C++ for example; various Availability function pointers may be scattered within the heap data. If one of these function pointers is overwritten with an address to valid shellcode; execution of arbitrary code can be achieved.
M43,The code unit must use dynamically allocated memory,The code unit should set a pointer to NULL once its memory has been freed,416,When freeing pointers; be sure to set them to NULL once they are freed. However; the utilization of multiple or complex data structures may lower the usefulness of this strategy.
M44,The code unit must allocate resources,The code unit should limit the number of allocated resources,400,If an attacker can trigger the allocation of these limited resources; but the number or size of the resources is not controlled; then the attacker could cause a denial of service that consumes all available resources.
M45,The code unit must allocate resources,The code unit should limit the size of allocated resources,400,If an attacker can trigger the allocation of these limited resources; but the number or size of the resources is not controlled; then the attacker could cause a denial of service that consumes all available resources.
M46,The code unit must allocate resources,The code unit should relsease a resource after its use,400,Not closing/returning a resource after processing
M47,The code unit must allocate resources,The code unit should releases resources on error conditions or other exceptional circumstances,400,Resource exhaustion problems are often result due to an incorrect implementation of the following situations: Error conditions and other exceptional circumstances. Confusion over which part of the program is responsible for releasing the resource.
M48,The code unit must allocate resources,The code unit should is able to release the resources for which it is responsible,400,Resource exhaustion problems are often result due to an incorrect implementation of the following situations: Error conditions and other exceptional circumstances. Confusion over which part of the program is responsible for releasing the resource.
M49,The code unit must allocate resources,The code unit should allow resource allocation only to authorized parties,400,A strong authentication and access control model will help prevent such attacks from occurring in the first place.
M50,The code unit must read data from a database,The code unit should cache the result set from a database access,400,Limiting the database access; perhaps by caching result sets; can help minimize the resources expended.
M51,The code unit must allow users to make some kind of requests,The code unit should prevent users making further requests if their limit has been exceeded,400,consider tracking the rate of requests received from users and blocking requests that exceed a defined rate threshold.
M52,The code unit must allocate resources,The code unit should place the system into a safe posture in case of failures in resource allocation,400,Ensure that all failures in resource allocation place the system into a safe posture.
M53,The code unit must allocate threads,The code unit should limit the numbers of threads that can be created,400,There are no limits to runnables. Potentially an attacker could cause resource problems very quickly.
M54,The code unit must allocate connections,The code unit should limit the numbers of connections that can be made,400,The program does not track how many connections have been made; and it does not limit the number of connections.
M55,The code unit must dump data into a file,The code unit should prevent files from growing without any limit,400,This example creates a situation where data can be dumped to a file on the local file system without any limits on the size of the file. This could potentially exhaust file or disk resources and/or limit other clients' ability to access the service.
M56,The code unit must place external data into strings or character arrays,The code unit should limit the length of strings or character arrays,400,This example creates a situation where the length of the body character array can be very large and will consume excessive memory; exhausting system resources. This can be avoided by restricting the length of the second character array with a maximum length check
M57,The code unit must place external data into buffers,The code unit should limit the length of buffers,400,This example creates a situation where the length of the body supplied can be very large and will consume excessive memory; exhausting system resources. This can be avoided by ensuring the body does not exceed a predetermined length of bytes.
M58,N/A,The code unit should require the right authentication level,306,Divide the software into anonymous; normal; privileged; and administrative areas. Identify which of these areas require a proven user identity; and use a centralized authentication capability.
M59,The code unit must involve some communication channels,The code unit should not open a protected channel without requiring authentication,306,Developers sometimes perform authentication at the primary channel; but open up a secondary channel that is assumed to be private. For example; a login mechanism may be listening on one network port; but after successful authentication; it may open up a second port where it waits for the connection; but avoids authentication because it assumes that only the authenticated party will connect to the port.
M60,The code unit must involve multiple connections/channels within a single session,The code unit should perform authentication at every connection,306,In general; if the software or protocol allows a single session or user state to persist across multiple connections or channels; authentication and appropriate credential management need to be used throughout.
M61,The code unit must be server-side in a client-server application,The code unit should perform the same security checks made on the client side,306,For any security checks that are performed on the client side; ensure that these checks are duplicated on the server side; in order to av oid CWE-602 .
M62,The code unit must be client-side in a client-server application,The code unit should not allow values to be modified after the security checks have been performed,306,Attackers can bypass the client-side checks by modifying values after the checks have been performed; or by changing the client to remove the client-side checks entirely. Then; these modified values would be submitted to the server.
M63,The code unit must be client-side in a client-server application,The code unit should cannot have its intended security checks removed,306,Attackers can bypass the client-side checks by modifying values after the checks have been performed; or by changing the client to remove the client-side checks entirely. Then; these modified values would be submitted to the server.
M64,The application must be web-based and have pages,The code unit should apply authentication before returning the requested page,306,In environments such as the World Wide Web; the line between authentication and authorization is sometimes blurred. If custom authentication routines are required instead of those provided by the server; then these routines must be applied to every single page; since these pages could be requested directly.
M65,The code unit must access data stored in the cloud,The code unit should require authentication when accessing cloud data,306,When migrating data to the cloud (e.g.; S3 buckets; Azure blobs; Google Cloud Storage; etc.); there is a risk of losing the Operation protections that were originally provided by hosting on internal networks. If access does not require authentication; it can be easier for attackers to access the data from anywhere on the Internet.
M66,The code unit's operation must involve protected objects,The code unit should require authentication when requesting operations,306,However; there is no authentication mechanism to ensure that the user creating this bank account object has the authority to create new bank accounts. Some authentication mechanisms should be used to verify that the user has the authority to create bank account objects.
M67,The code unit must involve S3 buckets,The code unit should configure sensitive buckets for no public read access when created,306,The sensitive information could have been protected by ensuring that the buckets did not have public read access; e.g.; by enabling the s3-account-level-public-access-blocks-periodic rule to Block Public Access.
M68,The code unit must involve S3 buckets,The code unit should configure sensitive buckets for encrypted data when created,306,In addition; the data could have been encrypted at rest using the appropriate S3 settings; e.g.; by enabling server-side encryption using the s3-bucket-server-side-encryption-enabled setting. Other settings are available to further prevent bucket data from being leaked.
M69,1. The code unit is web server that handles URL requests,The code unit should properly validates the destination of the request before sending it.,918,The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL; but it does not sufficiently ensure that the request is being sent to the expected destination
M70,1. The code unit handles resources and actions that need to be protected.,The code unit should perform an authorization check when an actor attempts to access a resource or perform an action,863; 862,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.
M71,1. The code unit handles resources and actions that need to be protected.,The code unit should include or references a mapping of roles with accessible data and functionality,863; 862,Reduce the attack surface by carefully mapping roles with data and functionality.
M72,"1. The code unit handles resources and actions that need to be protected.
2. The code unit handles access control
3. The code unit has defined boundaries",The code unit should use role-based access control (RBAC) to enforce the roles at the appropriate boundaries,863; 862,Use role-based access control (RBAC) [ REF-229] to enforce the roles at the appropriate boundaries.
M73,"1. The code unit handles resources and actions that need to be protected.
2. The code unit handles access control
3. Business logic is available",The code unit should perform access controls related to the business logic,863; 862,Ensure that access control checks are performed related to the business logic.
M74,1. The code unit handles resources and actions that need to be protected.,The code unit should use a vetted library or framework that prevents missing authorization weakness such as JAAS authorization and OWASP ESAPI Access Control feature,863; 862,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. For example; consider using authorization frameworks such as the JAAS Authorization Framework [REF-233 ] and the OWASP ESAPI Access Control feature [ REF-45].
M75,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application with server side",The code unit should enforce access control mechanism at the server side ,863; 862,For web applications; make sure that the access control mechanism is enforced correctly at the server side on every page.
M76,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application",The code unit should provide access to functionalities or information to unauthorized users requesting direct access to the page,863; 862,Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page.
M77,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application containing sensitive information",The code unit should cache pages containing sensitive information,863; 862,One way to do this is to ensure that all pages containing sensitive information are not cached;
M78,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application containing sensitive information",The code unit should restrict the access to pages containing sensitive information to authorized users with active and authenticates session token.,863; 862,that all such pages restrict access to requests that are accompanied by an active and authenticated session token associated with a user who has the required permissions to access that page.
M79,1. The code unit handles sensitive information,The code unit should store sensitive information (passwords; keys; credentials etc.) in a strongly protected encrypted configuration file or database with restricted access,798,For outbound authentication: store passwords; keys; and other credentials outside of the code in a strongly-protected; encrypted configuration file or database that is protected from access by all outsiders; including other local users on the same system.
M80,The code unit handles keys,The code unit should properly protect the key,798,Properly protect the k ey (CWE-320 ). 
M81,1. The code unit handles files with sensitive information,The code unit should restrict the permissions to files that cannot encrypted,798,If you cannot use encryption to protect the file; then make sure that the permissions are as restrictive as possible
M82,1. The code unit handles user logins,"The code unit should utilize a ""first login"" mode that requires the user to enter a unique strong password or key rather than hardcode default credentials for first time logins",798,"For inbound authentication: Rather than hardcode a default username and password; key; or other authentication credentials for first time logins; utilize a ""first login"" mode that requires the user to enter a unique strong password or key."
M83,1. The code unit includes features controlled by hard-coded credentials,The code unit should perform access control checks and limit which entities can access the feature that requires the hardcoded credentials,798,If the product must contain hardcoded credentials or they cannot be removed; perform access control checks and limit which entities can access the feature that requires the hardcoded credentials
M84,1. The code unit handles sensitive information,The code unit should apply strong one-way hashes to the passwords,798,For inbound authentication using passwords: apply strong one-way hashes to passwords 
M85,1. The code unit handles sensitive information,The code unit should store the password hashes in a configuration file or database with appropriate access control,798,and store those hashes in a configuration file or database with appropriate access control. That way; theft of the file/database still requires the attacker to try to crack the password
M86,1. The code unit handles authentication,The code unit should compare the hash of an incoming password to a saved hash during authentication,798,When handling an incoming password during authentication; take the hash of the password and compare it to the saved hash.
M87,1. The code unit generates hashes,The code unit should randomly assigns salts for each separate hash that is generated,798,Use randomly assigned salts for each separate hash that is generated.
M88,1. The code unit generates passwords or keys,The code unit should use generated passwords or keys that are automatically updated and require input by a system administrator at specified time intervals.,798,For front-end to back-end connections: Three solutions are possible; although none are complete. The first suggestion involves the use of generated passwords or keys that are changed automatically and must be entered at given time intervals by a system administrator. 
M89,1. The code unit handles temporary passwords,The code unit should keep temporary passwords in the memory for the specific time interval; beyond which the passwords becomes invalid,798,These passwords will be held in memory and only be valid for the time intervals. 
M90,"1. The code unit works with backend and front end
2. The code unit handles passwords or keys",The code unit should limit the backend passwords or keys to only perform actions valid for the front end instead of having full access,798,For front-end to back-end connections: Next; the passwords or keys should be limited at the back end to only performing actions valid for the front end; as opposed to having full access. 
M91,1. The code unit handles messages sent using time sensitive values,The code unit should tag and checksum the messages sent using time sensitive values to prevent replay-style attacks,798,For front-end to back-end connections: Finally; the messages sent should be tagged and checksummed with time sensitive values so as to prevent replay-style attacks.
M92,1. The code unit handles sentsitive information,The code unit should encrypt the username and passwords information,798,If possible; encrypt this information (username and password information).
M93,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should wrap critical code using synchronization primitives,362,In languages that support it; use synchronization primitives. Only wrap these around critical code to minimize the impact on performance.
M94,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use thread-safe capabilities,362,Use thread-safe capabilities such as the data access abstraction in Spring.
M95,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use thread-safe functions when using multithreading or performing operations on shared variables.,362,When using multithreading and operating on shared variables; only use thread-safe functions.
M96,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should perform non-atomic operations on shared variables,362,"Use atomic operations on shared variables. Be wary of innocent-looking constructs such as ""x++""."
M97,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use mutex for shared variables or resources,362,Use a mutex if available; but be sure to avoid related weaknesses such as CWE-412.
M98,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should avoid double-checked locking,362,Avoid double-checked locking ( CWE-609 ) and other implementation errors that arise when trying to avoid the overhead of synchronization.
M99,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should disables interrupts or signals over critical parts of the code ,362,Disable interrupts or signals over critical parts of the code; but also make sure that the code does not go into a large or infinite loop.
M100,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use volatile type modifier for critical variables,362,Use the volatile type modifier for critical variables to avoid unexpected compiler optimization or reordering.
M101,"1. The code unit handles concurrent; parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use lowest privileges that are necessary for performing tasks involving resource sharing,362,Run your code using the lowest privileges that are required to accomplish the necessary tasks
M102,1. The code unit handles HTTP requests from external actors,The code unit should sufficiently verify whether a request was intentionally provided by the user who submitted the request.,352,The web application does not; or can not; sufficiently verify whether a well-formed; valid; consistent request was intentionally provided by the user who submitted the request.
M103,1. The code unit handles HTTP requests from external actors,The code unit should use vetted library or framework that does not allow CSRF ,352,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. 
M104,1. The code unit handles HTTP requests from external actors,The code unit should prevent XSS attacks,352,Ensure that the application is free of cross-site scripting issues ( CWE-79 ); because most CSRF defenses can be bypassed using attacker-controlled script.
M105,1. The code unit handles HTTP requests from external actors,The code unit should use a unique and unpredictable nonce to verify a submitted form,352,Generate a unique nonce for each form; place the nonce into the form; and verify the nonce upon receipt of the form. Be sure that the nonce is not predictable
M106,"1. The code unit handles HTTP requests from external actors
2. The HTTP request performs a dangerous action",The code unit should sends a separate confirmation request to ensure that the user intended to perform an operation that is deemed dangerous,352,Identify especially dangerous operations. When the user performs a dangerous operation; send a separate confirmation request to ensure that the user intended to perform that operation.
M107,1. The code unit handles HTTP requests from external actors,The code unit should perform double-submitted cookie method,352,"Use the ""double-submitted cookie"" method"
M108,1. The code unit handles HTTP POST requests from external actors,The code unit should generate a pseudorandom value and set it as a cookie on the user's machine. ,352,When a user visits a site; the site should generate a pseudorandom value and set it as a cookie on the user's machine. 
M109,1. The code unit handles HTTP POST requests from external actors,The code unit should verify if the pseudorandom value is present as a form value and a cookie value,352,The site should require every form submission to include this value as a form value and also as a cookie value. 
M110,1. The code unit handles HTTP requests from external actors,The code unit should generate cryptographically strong pseudorandom value as cookie,352,To successfully submit a form on behalf of the user; the attacker would have to correctly guess the pseudorandom value. If the pseudorandom value is cryptographically strong; this will be prohibitively difficult.
M111,1. The code unit handles HTTP requests from external actors,The code unit should use GET method for any request that triggers a state change,352,Do not use the GET method for any request that triggers a state change.
M112,1. The code unit handles HTTP requests from external actors,The code unit should verify the origin page of the request by checking the HTTP Referer header,352,Check the HTTP Referer header to see if the request originated from an expected page.
M113,1. The code unit handles actions performed by an actor,The code unit should verify the identity of an actor,287,When an actor claims to have a given identity; the product does not prove or insufficiently proves that the claim is correct
M114,1. The code unit set resource permissions,The code unit should assign persmissions that allow anyone to modify the files,276,During installation; installed file permissions are set to allow anyone to modify those files.
M115,1. The code unit set resource permissions,The code unit should restrict access and modification rights to only those users who require those actions,276,The architecture needs to access and modification attributes for files to only those users who actually require those actions.
M116,"1. The code unit handles sensitive data
2. The code unit has a trust boundary",The code unit should allow sensitive data to go outside of the trust boundary.,276,Do not allow sensitive data to go outside of the trust boundary
M117,1. The code unit handles user privilege assignment,The code unit should follow the principle of least privilege when assigning access rights to entities in a software system.,276; 269,Architects and designers should rely on the principle of least privilege to decide the appropriate time to use privileges and the time to drop privileges.
M118,1. The code unit handles user privilege assignment,The code unit should properly assign or modifie the privileges of an actor.,269,The product does not properly assign or modify privileges for an actor; creating an unintended sphere of control for that actor
M119,1. The code unit handles handles actions that require user privileges,The code unit should properly track or check privileges for an actor,269,The product does not properly track; or check privileges for an actor; creating an unintended sphere of control for that actor
M120,1. The code unit handles user privileges,The code unit should carefully set; manage and handle the privileges,269,Very carefully manage the setting; management; and handling of privileges. 
M121,1. The code unit has trust zones,The code unit should explicitly manage trust zones in the software,269,Explicitly manage trust zones in the software.
M122,1. The code unit handles resource privilege assignment,The code unit should follows the principle of separation of privileges.,269,Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource.
M123,1. The code unit sends the sensitive information into another source,The code unit should explicitly inserts sensitive information into resources or messages accessible to unauthorized actors,200,"the code explicitly inserts sensitive information into resources or messages that are intentionally made accessible to unauthorized actors; but should not contain the information - i.e.; the information should have been ""scrubbed"" or ""sanitized"""
M124,1. The code unit sends the sensitive information into another source,The code unit should not let another weakness or code error indirectly insert sensitive information into resources or messages accessible to unauthorized actors,200,different weakness or mistake indirectly inserts the sensitive information into resources; such as a web script error revealing the full system path of the program.
M125,1. The code unit handles sensitive resources,The code unit should make sensitive resources accessible to unauthorized users,200,the code manages resources that intentionally contain sensitive information; but the resources are unintentionally made accessible to unauthorized actors.
M126,1. The code unit handles sensitive resources,The code unit should is compartmentalized to have safe areas with trust boundaries,200,"Compartmentalize the system to have ""safe"" areas where trust boundaries can be unambiguously drawn"
M127,1. The code unit handles sensitive resources,The code unit should prevent sensitive data to go out side of the trust boundary,200,Do not allow sensitive data to go outside of the trust boundary
M128,1. The code unit handles sensitive resources,The code unit should implement the principle of least privilege on sensitive resources,200,Architects and designers should rely on the principle of least privilege to decide the appropriate time to use privileges and the time to drop privileges
M129,1. The code unit handles integer operations,The code unit should define strict protocols to identify out-of-bounds behavior,190,Ensure that all protocols are strictly defined; such that all out-of-bounds behavior can be identified simply; and require strict conformance to the protocol.
M130,1. The code unit handles integer operations,The code unit should use vetted library or framework that prevents out-ouf-bounds weakness,190,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid
M131,1. The code unit accepts numeric inputs from external components such as users; modules etc.,The code unit should perform input validation on all numberic inputs to ensure that they are within the expected range,190,Perform input validation on any numeric input by ensuring that it is within the expected range.
M132,1. The code unit handles integer operations,The code unit should use unsigned integers where possible,190,Use unsigned integers where possible.
M133,1. The code unit handles signed integer operations,The code unit should verify if the signed integers meets both minimum and maximum requirements for the expected range,190,When signed integers are required; ensure that the range check includes minimum values as well as maximum values.
M134,1. The code unit handles client side and server side,The code unit should duplicate the client side security checks on the server side.,190; 22,For any security checks that are performed on the client side; ensure that these checks are duplicated on the server side;
M135,1. The code unit handles client side and server side,The code unit should prevent the submission of modified filepaths to the server after manually disabling or bypassing client-side validation checks,190; 22,Attackers can bypass the client-side checks by modifying values after the checks have been performed; or by changing the client to remove the client-side checks entirely. Then; these modified values would be submitted to the server.
M136,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should use an accept list to verify acceptable inputs,125; 89; 78; 77; 22; 20,"Use an ""accept known good"" input validation strategy; i.e.; use a list of acceptable inputs that strictly conform to specifications."
M137,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should verify the expected specifications of every input,125; 78; 77; 22; 20,Reject any input that does not strictly conform to specifications; or transform it into something that does.
M138,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should validate the input length,125; 89; 79; 78; 77; 22; 20,When performing input validation; consider all potentially relevant properties; including length; 
M139,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should validate the input type,125; 89; 79; 78; 77; 22; 20,type of input;
M140,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should validate the input to be in the range of acceptable values,125; 89; 78; 77; 22; 20,the full range of acceptable values
M141,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should verify if there are any misssing or extra inputs,125; 89; 79; 78; 77; 22; 20,; missing or extra inputs
M142,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit accepts inputs that require syntax or format validation",The code unit should validate the syntax of the input,125; 89; 79; 78; 77; 22; 21,; syntax; 
